timestamp,channel,sensor,value
2017-01-01T00:00:00Z,demand,Node_1,-3333.6
2017-01-01T00:00:00Z,demand,Node_10,82.8
2017-01-01T00:00:00Z,demand,Node_11,86.4
2017-01-01T00:00:00Z,demand,Node_12,104.4
2017-01-01T00:00:00Z,demand,Node_13,180.0
2017-01-01T00:00:00Z,demand,Node_14,118.8
2017-01-01T00:00:00Z,demand,Node_15,43.2
2017-01-01T00:00:00Z,demand,Node_16,50.4
2017-01-01T00:00:00Z,demand,Node_17,133.2
2017-01-01T00:00:00Z,demand,Node_18,208.8
2017-01-01T00:00:00Z,demand,Node_19,10.8
2017-01-01T00:00:00Z,demand,Node_2,144.0
2017-01-01T00:00:00Z,demand,Node_20,194.4
2017-01-01T00:00:00Z,demand,Node_21,140.4
2017-01-01T00:00:00Z,demand,Node_22,90.0
2017-01-01T00:00:00Z,demand,Node_23,147.6
2017-01-01T00:00:00Z,demand,Node_24,122.4
2017-01-01T00:00:00Z,demand,Node_25,32.4
2017-01-01T00:00:00Z,demand,Node_26,176.4
2017-01-01T00:00:00Z,demand,Node_27,61.2
2017-01-01T00:00:00Z,demand,Node_28,54.0
2017-01-01T00:00:00Z,demand,Node_29,50.4
2017-01-01T00:00:00Z,demand,Node_3,158.4
2017-01-01T00:00:00Z,demand,Node_30,64.8
2017-01-01T00:00:00Z,demand,Node_31,14.4
2017-01-01T00:00:00Z,demand,Node_32,144.0
2017-01-01T00:00:00Z,demand,Node_4,25.2
2017-01-01T00:00:00Z,demand,Node_5,144.0
2017-01-01T00:00:00Z,demand,Node_6,169.2
2017-01-01T00:00:00Z,demand,Node_7,201.6
2017-01-01T00:00:00Z,demand,Node_8,86.4
2017-01-01T00:00:00Z,demand,Node_9,93.6
2017-01-01T00:00:00Z,flow,Link_1,3333.6
2017-01-01T00:00:00Z,flow,Link_10,374.4
2017-01-01T00:00:00Z,flow,Link_11,288.0
2017-01-01T00:00:00Z,flow,Link_12,180.0
2017-01-01T00:00:00Z,flow,Link_13,136.8
2017-01-01T00:00:00Z,flow,Link_14,18.0
2017-01-01T00:00:00Z,flow,Link_15,-25.2
2017-01-01T00:00:00Z,flow,Link_16,111.6
2017-01-01T00:00:00Z,flow,Link_17,-244.8
2017-01-01T00:00:00Z,flow,Link_18,-453.6
2017-01-01T00:00:00Z,flow,Link_19,-464.4
2017-01-01T00:00:00Z,flow,Link_2,3186.0
2017-01-01T00:00:00Z,flow,Link_20,1256.4
2017-01-01T00:00:00Z,flow,Link_21,230.4
2017-01-01T00:00:00Z,flow,Link_22,90.0
2017-01-01T00:00:00Z,flow,Link_23,831.6
2017-01-01T00:00:00Z,flow,Link_24,547.2
2017-01-01T00:00:00Z,flow,Link_25,424.8
2017-01-01T00:00:00Z,flow,Link_26,-201.6
2017-01-01T00:00:00Z,flow,Link_27,-25.2
2017-01-01T00:00:00Z,flow,Link_28,36.0
2017-01-01T00:00:00Z,flow,Link_29,136.8
2017-01-01T00:00:00Z,flow,Link_3,1306.8
2017-01-01T00:00:00Z,flow,Link_30,82.8
2017-01-01T00:00:00Z,flow,Link_31,32.4
2017-01-01T00:00:00Z,flow,Link_32,-32.4
2017-01-01T00:00:00Z,flow,Link_33,46.8
2017-01-01T00:00:00Z,flow,Link_34,190.8
2017-01-01T00:00:00Z,flow,Link_4,1285.2
2017-01-01T00:00:00Z,flow,Link_5,1141.2
2017-01-01T00:00:00Z,flow,Link_6,972.0
2017-01-01T00:00:00Z,flow,Link_7,770.4
2017-01-01T00:00:00Z,flow,Link_8,684.0
2017-01-01T00:00:00Z,flow,Link_9,594.0
2017-01-01T00:00:00Z,pressure,Node_1,0.0
2017-01-01T00:00:00Z,pressure,Node_10,67.724
2017-01-01T00:00:00Z,pressure,Node_11,67.684
2017-01-01T00:00:00Z,pressure,Node_12,67.622
2017-01-01T00:00:00Z,pressure,Node_13,67.312
2017-01-01T00:00:00Z,pressure,Node_14,67.429
2017-01-01T00:00:00Z,pressure,Node_15,67.426
2017-01-01T00:00:00Z,pressure,Node_16,67.451
2017-01-01T00:00:00Z,pressure,Node_17,68.079
2017-01-01T00:00:00Z,pressure,Node_18,68.522
2017-01-01T00:00:00Z,pressure,Node_19,68.666
2017-01-01T00:00:00Z,pressure,Node_2,69.903
2017-01-01T00:00:00Z,pressure,Node_20,68.257
2017-01-01T00:00:00Z,pressure,Node_21,68.037
2017-01-01T00:00:00Z,pressure,Node_22,67.878
2017-01-01T00:00:00Z,pressure,Node_23,68.051
2017-01-01T00:00:00Z,pressure,Node_24,67.677
2017-01-01T00:00:00Z,pressure,Node_25,67.602
2017-01-01T00:00:00Z,pressure,Node_26,67.435
2017-01-01T00:00:00Z,pressure,Node_27,67.413
2017-01-01T00:00:00Z,pressure,Node_28,67.713
2017-01-01T00:00:00Z,pressure,Node_29,67.564
2017-01-01T00:00:00Z,pressure,Node_3,68.789
2017-01-01T00:00:00Z,pressure,Node_30,67.469
2017-01-01T00:00:00Z,pressure,Node_31,67.484
2017-01-01T00:00:00Z,pressure,Node_32,67.524
2017-01-01T00:00:00Z,pressure,Node_4,68.443
2017-01-01T00:00:00Z,pressure,Node_5,68.237
2017-01-01T00:00:00Z,pressure,Node_6,67.945
2017-01-01T00:00:00Z,pressure,Node_7,67.887
2017-01-01T00:00:00Z,pressure,Node_8,67.808
2017-01-01T00:00:00Z,pressure,Node_9,67.776
